project_type,size_sqm,num_workers,location,materials,complexity,duration_days,project_type_encoded,location_encoded,materials_encoded
house,149.3,4,suburban,premium,4,29,1,1,1
commercial,647.5,5,urban,premium,5,165,0,2,1
house,190.4,3,urban,standard,3,31,1,2,2
landscaping,113.2,8,urban,basic,2,3,2,2,0
commercial,445.7,8,urban,basic,1,34,0,2,0
house,92.7,10,rural,standard,2,7,1,0,2
commercial,454.0,3,urban,basic,5,93,0,2,0
commercial,789.5,7,rural,standard,1,95,0,0,2
landscaping,183.0,9,rural,premium,5,14,2,0,1
commercial,611.1,7,urban,premium,5,117,0,2,1
house,198.8,2,rural,basic,1,34,1,0,0
renovation,58.7,3,urban,standard,4,4,3,2,2
renovation,37.5,7,urban,standard,3,2,3,2,2
renovation,83.4,9,rural,standard,1,4,3,0,2
renovation,54.6,10,urban,premium,1,3,3,2,1
house,200.8,2,suburban,standard,5,51,1,1,2
landscaping,196.6,7,rural,basic,2,10,2,0,0
house,192.9,7,rural,basic,2,18,1,0,0
house,176.9,9,rural,basic,3,22,1,0,0
house,136.9,10,rural,premium,4,23,1,0,1
landscaping,222.5,1,urban,standard,5,38,2,2,2
house,45.7,9,suburban,basic,5,5,1,1,0
commercial,417.0,5,rural,standard,1,36,0,0,2
landscaping,128.2,8,suburban,premium,4,7,2,1,1
commercial,538.3,2,urban,premium,2,131,0,2,1
house,56.2,3,urban,standard,3,9,1,2,2
renovation,53.4,4,suburban,premium,3,6,3,1,1
renovation,74.5,2,rural,premium,1,9,3,0,1
house,163.4,9,rural,standard,4,26,1,0,2
landscaping,296.5,7,urban,standard,2,14,2,2,2
landscaping,285.9,7,urban,premium,4,21,2,2,1
house,167.8,7,rural,standard,3,22,1,0,2
house,243.2,10,suburban,standard,4,30,1,1,2
renovation,55.8,8,urban,basic,3,3,3,2,0
house,197.1,1,urban,premium,2,62,1,2,1
renovation,95.3,1,suburban,premium,1,15,3,1,1
commercial,337.4,5,rural,standard,2,64,0,0,2
renovation,34.2,7,urban,premium,5,3,3,2,1
commercial,647.9,1,rural,premium,4,499,0,0,1
landscaping,173.4,5,urban,basic,4,9,2,2,0
landscaping,171.6,8,suburban,standard,5,11,2,1,2
commercial,546.8,1,urban,standard,5,232,0,2,2
landscaping,260.5,10,suburban,premium,3,13,2,1,1
house,62.1,1,rural,premium,3,30,1,0,1
landscaping,176.3,5,rural,premium,3,16,2,0,1
renovation,98.7,4,suburban,premium,3,12,3,1,1
renovation,109.0,10,rural,premium,3,9,3,0,1
house,132.4,10,urban,basic,5,16,1,2,0
commercial,437.1,2,urban,premium,4,182,0,2,1
house,24.1,2,rural,premium,4,7,1,0,1
renovation,100.8,2,urban,standard,3,12,3,2,2
commercial,396.1,9,suburban,standard,1,35,0,1,2
renovation,92.1,4,suburban,standard,1,4,3,1,2
commercial,235.8,2,suburban,standard,4,98,0,1,2
renovation,74.6,8,urban,premium,4,4,3,2,1
renovation,93.2,2,suburban,premium,5,17,3,1,1
house,157.6,8,suburban,standard,4,20,1,1,2
landscaping,169.6,10,rural,standard,1,5,2,0,2
landscaping,109.6,8,rural,standard,3,6,2,0,2
house,137.3,5,rural,premium,2,22,1,0,1
house,148.3,5,rural,premium,4,36,1,0,1
landscaping,183.5,2,rural,basic,4,16,2,0,0
renovation,28.1,10,suburban,premium,4,2,3,1,1
commercial,417.7,8,urban,premium,5,80,0,2,1
renovation,37.6,4,suburban,premium,5,4,3,1,1
renovation,105.5,5,suburban,premium,2,10,3,1,1
landscaping,187.1,10,suburban,premium,1,7,2,1,1
commercial,262.8,9,suburban,basic,2,16,0,1,0
commercial,534.8,9,urban,premium,4,77,0,2,1
renovation,131.1,6,rural,basic,3,9,3,0,0
landscaping,178.2,7,rural,basic,4,11,2,0,0
commercial,508.6,9,urban,standard,4,81,0,2,2
renovation,91.8,8,suburban,premium,1,4,3,1,1
house,161.6,3,rural,standard,5,41,1,0,2
renovation,121.5,7,suburban,standard,1,6,3,1,2
renovation,117.1,5,suburban,premium,4,10,3,1,1
house,156.8,4,rural,basic,4,21,1,0,0
house,121.0,4,urban,premium,5,27,1,2,1
house,80.9,8,suburban,basic,2,6,1,1,0
landscaping,147.5,7,suburban,premium,5,10,2,1,1
house,147.8,2,urban,basic,1,13,1,2,0
renovation,64.2,2,rural,basic,5,12,3,0,0
commercial,380.1,8,urban,standard,3,38,0,2,2
landscaping,322.7,5,rural,basic,4,20,2,0,0
renovation,116.0,1,urban,basic,4,16,3,2,0
commercial,370.5,1,rural,standard,5,185,0,0,2
renovation,106.4,10,urban,basic,3,5,3,2,0
commercial,268.7,10,rural,premium,5,72,0,0,1
house,140.1,6,urban,premium,5,27,1,2,1
house,137.7,3,rural,standard,3,25,1,0,2
landscaping,207.3,3,urban,basic,4,13,2,2,0
commercial,265.5,2,urban,standard,5,99,0,2,2
commercial,449.6,4,suburban,standard,2,79,0,1,2
landscaping,134.9,3,urban,basic,2,4,2,2,0
landscaping,191.3,1,rural,standard,2,19,2,0,2
renovation,38.3,9,urban,premium,4,3,3,2,1
commercial,669.8,3,rural,standard,2,146,0,0,2
landscaping,296.5,8,suburban,standard,2,11,2,1,2
commercial,460.9,9,rural,basic,5,101,0,0,0
landscaping,274.6,4,suburban,premium,4,23,2,1,1
commercial,471.1,2,rural,premium,3,169,0,0,1
renovation,86.8,5,urban,basic,5,7,3,2,0
house,54.4,4,suburban,basic,1,5,1,1,0
house,195.6,7,urban,standard,4,22,1,2,2
commercial,552.8,7,suburban,basic,3,85,0,1,0
landscaping,237.3,5,suburban,standard,2,11,2,1,2
house,113.4,6,urban,premium,5,20,1,2,1
house,225.8,3,urban,premium,3,47,1,2,1
landscaping,254.2,6,rural,standard,4,18,2,0,2
renovation,62.8,4,suburban,basic,1,3,3,1,0
landscaping,113.9,10,urban,premium,2,4,2,2,1
house,125.6,1,rural,basic,1,28,1,0,0
renovation,78.0,6,suburban,basic,3,4,3,1,0
renovation,86.9,1,suburban,premium,5,19,3,1,1
landscaping,157.3,7,rural,standard,1,6,2,0,2
renovation,20.0,6,suburban,premium,3,1,3,1,1
landscaping,243.1,7,suburban,standard,4,12,2,1,2
commercial,706.4,4,rural,premium,4,291,0,0,1
commercial,682.5,2,suburban,basic,1,111,0,1,0
commercial,731.5,4,urban,standard,3,149,0,2,2
landscaping,207.9,2,suburban,basic,3,12,2,1,0
renovation,53.7,2,rural,premium,4,9,3,0,1
commercial,270.1,10,rural,standard,2,28,0,0,2
renovation,128.8,7,urban,basic,5,7,3,2,0
renovation,68.1,7,suburban,standard,2,3,3,1,2
renovation,21.5,4,rural,standard,3,2,3,0,2
commercial,481.1,9,rural,standard,3,78,0,0,2
house,96.4,6,suburban,standard,3,11,1,1,2
house,153.7,7,rural,standard,1,13,1,0,2
renovation,41.2,4,urban,premium,1,3,3,2,1
landscaping,60.1,10,suburban,basic,2,2,2,1,0
house,204.2,9,suburban,standard,3,18,1,1,2
landscaping,170.1,2,suburban,standard,4,15,2,1,2
house,54.5,5,suburban,standard,3,8,1,1,2
renovation,59.7,10,suburban,basic,4,3,3,1,0
landscaping,394.3,8,urban,premium,4,26,2,2,1
landscaping,162.5,1,urban,standard,4,18,2,2,2
house,144.5,5,urban,standard,2,12,1,2,2
commercial,113.6,4,urban,basic,4,18,0,2,0
commercial,366.2,7,urban,standard,4,47,0,2,2
house,97.8,2,urban,standard,5,17,1,2,2
renovation,112.4,6,suburban,basic,5,8,3,1,0
landscaping,119.8,3,suburban,premium,4,11,2,1,1
commercial,528.7,2,rural,basic,2,107,0,0,0
house,108.2,4,rural,standard,5,25,1,0,2
landscaping,248.4,9,suburban,basic,5,13,2,1,0
house,65.8,2,rural,premium,4,17,1,0,1
landscaping,195.5,8,urban,standard,1,5,2,2,2
commercial,309.5,10,rural,basic,2,30,0,0,0
renovation,64.4,3,rural,standard,4,8,3,0,2
commercial,833.4,2,suburban,premium,4,414,0,1,1
renovation,100.5,1,suburban,standard,5,20,3,1,2
landscaping,222.7,4,urban,standard,2,8,2,2,2
commercial,181.1,9,rural,basic,4,36,0,0,0
renovation,74.4,4,urban,standard,4,6,3,2,2
renovation,41.6,2,urban,premium,1,4,3,2,1
renovation,91.6,4,suburban,basic,5,10,3,1,0
commercial,743.3,8,urban,standard,2,78,0,2,2
landscaping,235.3,4,suburban,standard,5,16,2,1,2
landscaping,229.9,6,urban,basic,3,10,2,2,0
commercial,339.6,7,urban,premium,4,62,0,2,1
landscaping,216.2,1,urban,basic,1,13,2,2,0
renovation,100.5,7,rural,standard,3,7,3,0,2
renovation,41.1,6,rural,premium,5,5,3,0,1
commercial,327.7,9,rural,basic,2,38,0,0,0
house,133.5,4,urban,premium,4,25,1,2,1
commercial,493.7,6,rural,premium,2,105,0,0,1
landscaping,43.0,5,rural,standard,1,2,2,0,2
house,163.6,3,suburban,basic,1,19,1,1,0
commercial,846.4,4,rural,basic,1,131,0,0,0
commercial,635.9,9,rural,standard,4,130,0,0,2
landscaping,149.2,8,rural,basic,4,8,2,0,0
landscaping,195.7,9,suburban,standard,4,7,2,1,2
landscaping,198.1,7,rural,premium,3,14,2,0,1
renovation,81.2,3,suburban,premium,4,12,3,1,1
renovation,46.9,8,urban,standard,3,2,3,2,2
commercial,702.1,3,urban,basic,5,183,0,2,0
house,131.3,9,suburban,basic,5,14,1,1,0
renovation,82.9,1,suburban,basic,2,10,3,1,0
commercial,396.1,9,suburban,basic,2,36,0,1,0
house,153.9,3,suburban,basic,4,18,1,1,0
house,92.3,8,rural,standard,1,6,1,0,2
commercial,802.7,6,suburban,standard,4,176,0,1,2
renovation,127.5,1,suburban,premium,2,19,3,1,1
house,272.2,2,urban,standard,3,45,1,2,2
landscaping,238.6,4,urban,basic,1,6,2,2,0
landscaping,206.5,2,rural,standard,1,12,2,0,2
house,107.2,4,rural,basic,3,14,1,0,0
commercial,446.0,3,rural,standard,3,112,0,0,2
commercial,601.1,4,rural,basic,3,151,0,0,0
renovation,51.0,1,suburban,standard,2,6,3,1,2
renovation,96.8,8,rural,standard,3,5,3,0,2
house,176.4,7,suburban,premium,1,20,1,1,1
renovation,90.8,5,urban,premium,2,5,3,2,1
landscaping,185.8,6,rural,basic,5,10,2,0,0
renovation,72.1,2,urban,premium,4,8,3,2,1
house,147.1,7,suburban,basic,1,11,1,1,0
house,152.6,3,rural,premium,1,29,1,0,1
house,171.7,5,suburban,basic,2,18,1,1,0
house,41.2,7,rural,standard,5,8,1,0,2
commercial,396.6,3,rural,premium,4,144,0,0,1
commercial,334.2,4,suburban,basic,3,52,0,1,0
house,202.8,3,rural,basic,1,35,1,0,0
landscaping,248.7,6,suburban,basic,1,8,2,1,0
house,127.3,9,urban,standard,1,7,1,2,2
landscaping,69.0,9,suburban,standard,3,3,2,1,2
renovation,109.3,2,rural,basic,3,9,3,0,0
landscaping,187.3,9,rural,basic,4,8,2,0,0
landscaping,204.2,8,urban,standard,5,10,2,2,2
house,156.9,2,urban,basic,2,20,1,2,0
renovation,104.5,2,rural,basic,1,8,3,0,0
commercial,509.0,8,rural,premium,1,74,0,0,1
house,120.1,7,rural,premium,4,27,1,0,1
landscaping,234.8,1,rural,basic,5,41,2,0,0
renovation,63.5,6,rural,standard,5,8,3,0,2
renovation,85.0,3,rural,standard,4,10,3,0,2
house,120.9,7,suburban,premium,3,14,1,1,1
commercial,464.4,1,rural,standard,5,300,0,0,2
house,96.8,8,rural,premium,3,14,1,0,1
commercial,381.0,6,rural,standard,3,71,0,0,2
house,85.0,8,urban,basic,5,9,1,2,0
house,179.5,1,urban,premium,4,67,1,2,1
house,109.5,9,suburban,basic,5,9,1,1,0
renovation,59.6,3,suburban,basic,5,6,3,1,0
commercial,670.5,8,urban,premium,5,183,0,2,1
commercial,545.8,9,suburban,basic,2,61,0,1,0
house,227.9,3,rural,premium,1,37,1,0,1
house,130.8,8,suburban,premium,2,14,1,1,1
renovation,128.1,6,urban,basic,1,6,3,2,0
landscaping,273.3,9,rural,premium,4,21,2,0,1
renovation,32.3,8,urban,basic,1,1,3,2,0
house,265.2,2,urban,standard,2,32,1,2,2
house,108.3,9,urban,standard,3,10,1,2,2
landscaping,54.9,8,rural,standard,1,2,2,0,2
landscaping,238.0,7,rural,standard,5,17,2,0,2
commercial,673.2,9,urban,standard,2,62,0,2,2
landscaping,354.1,7,rural,basic,3,14,2,0,0
renovation,60.6,5,rural,standard,3,4,3,0,2
renovation,104.6,8,rural,premium,1,6,3,0,1
landscaping,289.5,1,rural,basic,3,32,2,0,0
renovation,65.1,6,rural,standard,3,5,3,0,2
landscaping,169.8,7,suburban,premium,3,11,2,1,1
renovation,67.1,7,suburban,basic,1,3,3,1,0
renovation,55.9,3,rural,standard,3,5,3,0,2
renovation,55.0,6,urban,standard,3,3,3,2,2
landscaping,282.4,8,rural,standard,4,18,2,0,2
commercial,459.3,6,rural,premium,4,164,0,0,1
commercial,535.7,2,urban,premium,4,231,0,2,1
house,107.0,5,urban,premium,3,21,1,2,1
landscaping,138.8,1,rural,standard,4,14,2,0,2
landscaping,274.7,6,rural,standard,3,15,2,0,2
commercial,316.7,9,suburban,premium,2,38,0,1,1
landscaping,192.9,2,urban,standard,4,17,2,2,2
renovation,20.0,7,urban,basic,5,1,3,2,0
house,160.7,8,suburban,standard,5,20,1,1,2
landscaping,150.2,2,urban,basic,2,9,2,2,0
landscaping,67.6,2,urban,premium,4,7,2,2,1
house,108.0,9,rural,standard,5,19,1,0,2
house,110.2,10,rural,basic,1,10,1,0,0
renovation,58.6,6,urban,premium,3,5,3,2,1
renovation,52.3,1,urban,standard,4,9,3,2,2
landscaping,210.2,1,urban,standard,4,24,2,2,2
renovation,117.6,1,urban,premium,5,26,3,2,1
commercial,727.7,7,rural,basic,3,113,0,0,0
renovation,88.3,8,suburban,standard,2,4,3,1,2
renovation,87.4,1,rural,standard,4,14,3,0,2
renovation,50.7,10,rural,basic,3,3,3,0,0
landscaping,280.1,6,rural,standard,1,10,2,0,2
renovation,87.1,7,urban,basic,4,4,3,2,0
commercial,577.2,3,suburban,standard,1,86,0,1,2
renovation,48.3,7,suburban,basic,1,1,3,1,0
commercial,303.2,9,suburban,standard,4,51,0,1,2
renovation,94.6,6,rural,standard,5,9,3,0,2
house,179.3,6,rural,basic,2,18,1,0,0
landscaping,172.7,7,urban,standard,4,8,2,2,2
house,133.1,3,rural,premium,2,36,1,0,1
renovation,117.6,6,suburban,basic,1,4,3,1,0
landscaping,180.5,3,urban,standard,2,8,2,2,2
renovation,68.5,7,urban,basic,3,3,3,2,0
house,214.7,7,urban,basic,5,25,1,2,0
renovation,123.0,1,rural,premium,1,24,3,0,1
house,163.9,2,rural,premium,3,58,1,0,1
commercial,878.0,6,urban,basic,2,102,0,2,0
commercial,602.7,1,suburban,standard,1,201,0,1,2
renovation,103.5,8,rural,premium,1,8,3,0,1
landscaping,161.0,2,rural,standard,2,14,2,0,2
renovation,70.2,7,rural,standard,4,6,3,0,2
renovation,69.0,5,rural,standard,3,6,3,0,2
house,123.2,5,suburban,basic,1,9,1,1,0
renovation,63.9,1,urban,standard,5,13,3,2,2
renovation,89.6,7,suburban,standard,5,8,3,1,2
landscaping,229.5,4,suburban,basic,5,17,2,1,0
house,216.3,4,suburban,basic,2,21,1,1,0
commercial,471.1,5,rural,premium,3,118,0,0,1
renovation,47.2,1,suburban,basic,2,6,3,1,0
landscaping,255.9,1,urban,premium,4,38,2,2,1
house,193.3,10,urban,premium,3,22,1,2,1
landscaping,311.5,8,urban,standard,5,16,2,2,2
renovation,76.3,10,suburban,basic,5,4,3,1,0
commercial,559.4,10,suburban,premium,1,74,0,1,1
renovation,54.7,4,urban,basic,5,4,3,2,0
renovation,53.5,10,rural,standard,4,2,3,0,2
house,132.7,10,urban,standard,5,11,1,2,2
landscaping,276.8,2,suburban,standard,4,28,2,1,2
landscaping,321.5,2,rural,standard,4,40,2,0,2
renovation,80.8,4,rural,standard,2,7,3,0,2
landscaping,68.4,7,rural,standard,3,4,2,0,2
renovation,82.9,5,rural,basic,3,6,3,0,0
commercial,664.6,9,rural,standard,3,111,0,0,2
house,233.4,9,suburban,basic,3,20,1,1,0
renovation,97.7,10,suburban,basic,4,5,3,1,0
renovation,119.4,1,rural,standard,1,15,3,0,2
commercial,997.0,4,suburban,premium,2,246,0,1,1
house,178.3,2,suburban,standard,5,49,1,1,2
commercial,333.1,3,suburban,basic,3,72,0,1,0
commercial,391.1,10,urban,premium,3,43,0,2,1
landscaping,152.7,4,urban,standard,5,11,2,2,2
renovation,92.9,6,urban,standard,5,7,3,2,2
landscaping,34.8,6,suburban,standard,5,2,2,1,2
landscaping,331.5,8,suburban,standard,3,14,2,1,2
renovation,39.0,8,urban,standard,1,1,3,2,2
commercial,738.6,10,suburban,basic,3,78,0,1,0
renovation,50.5,2,suburban,basic,1,3,3,1,0
landscaping,294.2,2,suburban,premium,1,20,2,1,1
house,130.7,2,suburban,premium,5,51,1,1,1
renovation,85.6,1,urban,standard,5,18,3,2,2
landscaping,141.7,3,urban,standard,2,9,2,2,2
commercial,310.0,2,rural,standard,1,66,0,0,2
landscaping,70.7,3,urban,standard,2,4,2,2,2
landscaping,124.8,2,rural,standard,5,16,2,0,2
house,129.3,7,suburban,standard,4,18,1,1,2
house,81.4,4,rural,basic,5,17,1,0,0
house,100.4,7,urban,standard,4,10,1,2,2
landscaping,116.5,6,rural,premium,1,6,2,0,1
landscaping,70.3,1,rural,standard,3,9,2,0,2
commercial,472.6,4,urban,premium,5,146,0,2,1
renovation,82.4,9,urban,standard,4,4,3,2,2
house,104.5,2,suburban,standard,2,19,1,1,2
house,218.3,10,rural,standard,4,27,1,0,2
house,200.9,3,urban,premium,2,36,1,2,1
commercial,473.6,3,urban,premium,3,123,0,2,1
renovation,120.5,9,suburban,premium,4,10,3,1,1
renovation,109.5,3,urban,premium,1,8,3,2,1
commercial,440.5,2,suburban,basic,4,171,0,1,0
renovation,41.9,10,urban,standard,1,1,3,2,2
landscaping,217.8,6,rural,premium,2,15,2,0,1
house,181.8,7,suburban,standard,2,12,1,1,2
house,144.5,8,rural,standard,3,16,1,0,2
commercial,551.2,9,suburban,premium,5,128,0,1,1
commercial,577.7,6,rural,standard,1,73,0,0,2
renovation,98.8,10,suburban,basic,5,6,3,1,0
landscaping,201.0,1,rural,premium,2,32,2,0,1
house,102.4,4,urban,premium,4,18,1,2,1
landscaping,184.3,2,rural,basic,5,19,2,0,0
commercial,422.6,10,suburban,standard,2,42,0,1,2
renovation,88.4,7,suburban,premium,5,8,3,1,1
renovation,77.1,8,urban,basic,3,3,3,2,0
commercial,468.0,1,rural,standard,4,282,0,0,2
renovation,112.9,8,suburban,premium,4,7,3,1,1
landscaping,175.0,5,suburban,standard,2,8,2,1,2
commercial,364.8,1,suburban,basic,5,125,0,1,0
commercial,290.7,9,suburban,basic,5,30,0,1,0
renovation,77.5,7,urban,premium,3,6,3,2,1
house,152.3,1,urban,basic,3,38,1,2,0
commercial,719.0,5,suburban,premium,2,150,0,1,1
house,172.4,8,suburban,premium,5,28,1,1,1
landscaping,199.6,8,suburban,basic,5,11,2,1,0
house,123.4,3,rural,standard,4,27,1,0,2
renovation,61.7,1,urban,standard,1,6,3,2,2
commercial,487.5,3,urban,premium,3,122,0,2,1
commercial,617.8,10,urban,basic,3,54,0,2,0
commercial,20.0,2,suburban,premium,3,8,0,1,1
commercial,438.2,2,urban,basic,4,84,0,2,0
renovation,109.9,8,suburban,premium,3,7,3,1,1
commercial,891.7,7,suburban,basic,4,136,0,1,0
landscaping,356.1,7,urban,standard,4,17,2,2,2
house,143.4,1,suburban,premium,1,33,1,1,1
commercial,517.0,2,suburban,basic,2,130,0,1,0
commercial,410.5,9,suburban,standard,3,63,0,1,2
landscaping,180.0,2,rural,premium,5,30,2,0,1
renovation,128.2,6,rural,standard,2,7,3,0,2
house,159.0,3,suburban,premium,3,36,1,1,1
house,190.7,4,urban,basic,2,25,1,2,0
commercial,659.9,9,urban,standard,3,86,0,2,2
house,164.7,3,rural,basic,3,29,1,0,0
landscaping,184.2,8,urban,basic,4,6,2,2,0
house,129.5,1,urban,standard,4,44,1,2,2
landscaping,144.0,10,urban,premium,3,7,2,2,1
commercial,728.1,10,rural,premium,1,128,0,0,1
house,239.6,5,suburban,basic,2,24,1,1,0
renovation,21.0,9,suburban,premium,4,2,3,1,1
house,247.1,7,suburban,standard,1,13,1,1,2
house,119.9,6,rural,standard,2,15,1,0,2
landscaping,157.5,8,suburban,basic,5,7,2,1,0
house,119.4,2,urban,standard,5,32,1,2,2
house,169.8,10,suburban,premium,3,14,1,1,1
landscaping,20.0,5,suburban,premium,4,2,2,1,1
house,188.6,10,rural,basic,5,29,1,0,0
commercial,418.8,6,suburban,premium,5,101,0,1,1
commercial,603.0,3,suburban,basic,1,91,0,1,0
landscaping,88.2,4,urban,standard,3,5,2,2,2
landscaping,261.1,6,urban,premium,2,13,2,2,1
commercial,766.1,3,rural,premium,3,314,0,0,1
commercial,475.0,3,rural,basic,3,127,0,0,0
renovation,68.8,5,suburban,standard,1,4,3,1,2
renovation,86.0,4,suburban,standard,5,9,3,1,2
house,201.9,5,rural,standard,5,44,1,0,2
renovation,53.0,1,suburban,premium,5,11,3,1,1
commercial,720.1,6,rural,premium,2,146,0,0,1
renovation,58.0,7,suburban,premium,5,4,3,1,1
landscaping,244.2,4,rural,standard,2,15,2,0,2
renovation,97.9,10,rural,standard,2,3,3,0,2
house,207.5,6,suburban,basic,4,26,1,1,0
landscaping,156.9,9,suburban,premium,1,6,2,1,1
commercial,737.7,7,rural,basic,5,192,0,0,0
house,94.0,10,suburban,premium,2,11,1,1,1
house,115.4,10,urban,basic,4,10,1,2,0
house,166.2,6,suburban,basic,5,27,1,1,0
renovation,112.0,6,suburban,standard,5,10,3,1,2
landscaping,196.2,5,rural,basic,4,12,2,0,0
house,176.0,8,suburban,basic,4,16,1,1,0
house,127.0,3,suburban,basic,4,21,1,1,0
landscaping,236.2,9,rural,basic,2,8,2,0,0
commercial,676.3,5,urban,premium,3,134,0,2,1
house,98.5,10,suburban,premium,2,8,1,1,1
commercial,166.9,1,rural,premium,2,80,0,0,1
house,174.4,4,urban,premium,4,27,1,2,1
renovation,52.2,6,urban,basic,4,3,3,2,0
house,269.9,5,rural,basic,3,52,1,0,0
renovation,65.4,9,rural,basic,2,3,3,0,0
renovation,72.2,3,suburban,basic,1,3,3,1,0
commercial,600.2,1,suburban,basic,3,178,0,1,0
renovation,102.3,3,rural,standard,1,7,3,0,2
commercial,457.2,7,rural,basic,4,98,0,0,0
commercial,477.0,1,urban,basic,5,167,0,2,0
house,126.1,2,suburban,basic,1,21,1,1,0
renovation,121.8,6,urban,basic,2,6,3,2,0
house,130.5,1,rural,basic,4,34,1,0,0
commercial,663.8,4,rural,standard,2,130,0,0,2
landscaping,145.1,1,urban,basic,4,14,2,2,0
landscaping,168.4,9,urban,standard,2,5,2,2,2
landscaping,81.4,3,urban,standard,2,4,2,2,2
house,140.0,3,urban,standard,4,21,1,2,2
house,170.2,2,rural,basic,2,27,1,0,0
house,238.8,8,suburban,basic,3,20,1,1,0
commercial,377.3,6,urban,standard,3,54,0,2,2
house,198.2,6,rural,standard,3,29,1,0,2
landscaping,182.7,2,suburban,basic,3,15,2,1,0
commercial,576.2,4,suburban,standard,4,107,0,1,2
renovation,20.0,8,urban,premium,2,1,3,2,1
house,180.7,3,rural,basic,5,37,1,0,0
commercial,265.8,2,rural,premium,2,126,0,0,1
house,92.2,8,rural,basic,5,12,1,0,0
renovation,135.1,1,urban,basic,3,20,3,2,0
commercial,442.5,10,urban,premium,5,83,0,2,1
commercial,287.0,2,urban,standard,1,46,0,2,2
renovation,132.5,9,suburban,standard,4,7,3,1,2
renovation,58.9,6,urban,premium,2,3,3,2,1
commercial,285.0,7,rural,standard,2,42,0,0,2
house,224.1,9,urban,basic,4,19,1,2,0
renovation,71.2,10,urban,basic,3,2,3,2,0
renovation,63.4,9,rural,basic,4,5,3,0,0
landscaping,265.8,5,urban,premium,1,9,2,2,1
commercial,265.2,8,rural,basic,3,34,0,0,0
renovation,93.4,6,rural,premium,4,11,3,0,1
commercial,483.5,2,suburban,basic,2,102,0,1,0
renovation,88.8,10,rural,premium,1,5,3,0,1
landscaping,80.3,9,urban,basic,5,4,2,2,0
house,146.1,7,urban,basic,4,15,1,2,0
landscaping,151.3,6,urban,basic,5,8,2,2,0
house,163.7,2,urban,premium,1,21,1,2,1
commercial,507.5,3,suburban,standard,2,90,0,1,2
commercial,576.0,5,urban,basic,5,102,0,2,0
landscaping,216.8,2,rural,basic,1,12,2,0,0
landscaping,278.6,1,suburban,standard,3,29,2,1,2
house,95.8,3,urban,premium,3,19,1,2,1
landscaping,74.3,9,suburban,basic,3,3,2,1,0
landscaping,253.4,1,urban,premium,2,25,2,2,1
landscaping,246.8,9,suburban,basic,2,7,2,1,0
commercial,381.8,5,suburban,basic,1,42,0,1,0
renovation,40.8,5,suburban,basic,4,2,3,1,0
commercial,705.9,1,rural,standard,1,247,0,0,2
house,39.3,10,urban,basic,5,4,1,2,0
landscaping,152.5,2,suburban,premium,1,13,2,1,1
commercial,479.7,1,suburban,basic,3,113,0,1,0
commercial,627.0,9,suburban,premium,4,162,0,1,1
renovation,86.6,1,suburban,basic,3,11,3,1,0
renovation,95.2,4,suburban,premium,1,6,3,1,1
landscaping,326.6,2,urban,standard,1,16,2,2,2
landscaping,194.8,7,urban,basic,1,4,2,2,0
commercial,631.9,10,urban,basic,1,37,0,2,0
renovation,93.8,8,suburban,standard,3,5,3,1,2
commercial,528.8,4,urban,standard,2,56,0,2,2
landscaping,195.0,4,urban,premium,2,11,2,2,1
renovation,110.2,8,suburban,basic,4,7,3,1,0
renovation,97.6,4,suburban,standard,3,8,3,1,2
landscaping,114.1,2,rural,premium,3,16,2,0,1
renovation,121.9,6,suburban,premium,3,11,3,1,1
renovation,91.5,8,rural,premium,5,10,3,0,1
commercial,509.4,6,urban,standard,2,48,0,2,2
commercial,603.8,3,urban,premium,5,174,0,2,1
commercial,364.6,6,suburban,premium,5,103,0,1,1
landscaping,90.8,8,suburban,premium,1,3,2,1,1
house,157.3,1,rural,premium,3,64,1,0,1
commercial,1018.9,4,suburban,standard,4,262,0,1,2
house,153.1,7,suburban,standard,4,24,1,1,2
renovation,73.3,8,suburban,basic,5,4,3,1,0
landscaping,123.6,2,suburban,standard,4,12,2,1,2
landscaping,216.1,7,urban,premium,5,13,2,2,1
renovation,106.0,10,rural,standard,4,6,3,0,2
commercial,386.1,10,suburban,standard,5,60,0,1,2
house,135.0,8,rural,basic,2,11,1,0,0
house,91.4,7,urban,standard,4,8,1,2,2
commercial,396.3,7,suburban,basic,4,71,0,1,0
house,166.3,3,rural,premium,4,49,1,0,1
commercial,519.6,10,rural,premium,1,58,0,0,1
landscaping,166.3,9,rural,standard,4,8,2,0,2
renovation,70.3,8,urban,premium,2,4,3,2,1
commercial,806.9,1,rural,premium,2,471,0,0,1
commercial,500.6,6,suburban,standard,3,92,0,1,2
commercial,617.5,2,urban,premium,5,248,0,2,1
house,219.9,6,suburban,standard,4,37,1,1,2
commercial,354.0,4,urban,premium,1,54,0,2,1
renovation,94.4,2,urban,basic,1,6,3,2,0
landscaping,280.8,8,rural,premium,2,12,2,0,1
renovation,48.1,8,suburban,premium,5,5,3,1,1
commercial,397.9,4,suburban,premium,5,151,0,1,1
house,178.2,5,urban,basic,5,30,1,2,0
renovation,170.4,9,suburban,premium,2,10,3,1,1
house,106.1,9,urban,basic,1,4,1,2,0
house,77.1,5,urban,premium,2,9,1,2,1
renovation,74.8,8,rural,basic,3,3,3,0,0
house,134.4,7,rural,standard,5,27,1,0,2
commercial,388.9,7,urban,standard,2,42,0,2,2
renovation,100.0,7,suburban,basic,4,6,3,1,0
