project_type,surface_area,materials,location,complexity,estimated_cost,project_type_encoded,materials_encoded,location_encoded
landscaping,330.6,standard,suburban,5,98677,2,2,1
renovation,65.3,basic,suburban,3,61252,3,0,1
renovation,79.4,basic,rural,5,69621,3,0,0
house,149.6,standard,urban,1,247796,1,2,2
house,113.4,premium,urban,3,355266,1,1,2
commercial,126.7,basic,rural,2,160654,0,0,0
house,218.9,basic,urban,2,287063,1,0,2
house,73.7,standard,suburban,1,88712,1,2,1
house,160.7,standard,urban,5,442685,1,2,2
house,174.6,basic,urban,5,458953,1,0,2
commercial,320.2,standard,rural,2,399803,0,2,0
landscaping,366.2,basic,urban,4,96330,2,0,2
commercial,249.5,standard,urban,3,705964,0,2,2
landscaping,39.6,premium,suburban,3,11868,2,1,1
landscaping,389.9,premium,urban,2,137257,2,1,2
landscaping,310.9,premium,suburban,4,115475,2,1,1
commercial,690.6,basic,urban,1,839513,0,0,2
house,141.3,basic,urban,1,166630,1,0,2
renovation,47.4,premium,rural,3,52983,3,1,0
landscaping,367.9,premium,suburban,1,68390,2,1,1
house,192.7,basic,rural,5,272664,1,0,0
house,127.0,premium,rural,3,211808,1,1,0
commercial,641.1,standard,rural,5,1280708,0,2,0
landscaping,449.7,basic,rural,3,57395,2,0,0
renovation,97.1,premium,suburban,2,131815,3,1,1
renovation,32.3,basic,urban,1,29046,3,0,2
commercial,506.7,basic,urban,1,714822,0,0,2
commercial,258.8,basic,urban,3,555090,0,0,2
renovation,112.6,basic,rural,1,62992,3,0,0
house,182.1,standard,rural,5,279605,1,2,0
commercial,647.5,basic,rural,5,1246510,0,0,0
commercial,281.7,basic,urban,4,675809,0,0,2
renovation,68.0,basic,rural,2,43048,3,0,0
house,74.1,standard,suburban,3,120054,1,2,1
house,175.0,premium,suburban,3,413727,1,1,1
house,184.9,basic,urban,5,432942,1,0,2
landscaping,318.7,standard,rural,4,62601,2,2,0
landscaping,337.7,premium,suburban,5,137971,2,1,1
landscaping,411.2,premium,suburban,3,144267,2,1,1
commercial,144.8,standard,urban,3,411325,0,2,2
house,144.4,premium,urban,4,540016,1,1,2
renovation,58.1,basic,suburban,2,38947,3,0,1
landscaping,249.0,basic,rural,4,39051,2,0,0
house,122.1,basic,suburban,3,169614,1,0,1
landscaping,270.6,standard,urban,2,59971,2,2,2
commercial,234.3,standard,urban,2,552597,0,2,2
house,194.5,standard,urban,1,334849,1,2,2
house,75.2,premium,urban,2,184208,1,1,2
renovation,52.3,basic,rural,2,28932,3,0,0
renovation,58.3,standard,suburban,5,85507,3,2,1
commercial,853.1,standard,rural,3,1343285,0,2,0
landscaping,504.6,premium,rural,3,127828,2,1,0
renovation,115.7,premium,rural,1,114173,3,1,0
commercial,457.0,premium,suburban,4,1578084,0,1,1
renovation,84.3,standard,urban,5,149837,3,2,2
landscaping,370.1,premium,urban,2,122068,2,1,2
landscaping,442.4,basic,urban,1,73837,2,0,2
renovation,54.1,standard,rural,3,47762,3,2,0
house,69.7,premium,urban,5,262076,1,1,2
commercial,503.2,basic,rural,1,478844,0,0,0
commercial,661.5,basic,urban,1,931516,0,0,2
house,110.8,premium,rural,5,249564,1,1,0
commercial,841.0,standard,rural,2,1174615,0,2,0
house,76.1,premium,suburban,2,136047,1,1,1
renovation,25.2,premium,rural,3,31407,3,1,0
renovation,109.3,standard,urban,1,105140,3,2,2
house,120.2,basic,suburban,4,204427,1,0,1
landscaping,258.0,basic,suburban,2,42208,2,0,1
commercial,176.9,premium,suburban,4,473467,0,1,1
commercial,404.2,basic,rural,1,319206,0,0,0
house,149.3,standard,rural,4,213519,1,2,0
landscaping,250.7,premium,urban,2,93981,2,1,2
house,136.1,basic,suburban,5,228521,1,0,1
house,192.8,standard,urban,4,527328,1,2,2
commercial,873.9,premium,urban,1,1912069,0,1,2
house,125.4,basic,rural,5,183169,1,0,0
landscaping,159.0,standard,suburban,1,21986,2,2,1
house,203.2,basic,urban,3,279105,1,0,2
commercial,583.5,standard,urban,1,1234272,0,2,2
landscaping,278.7,premium,rural,1,46650,2,1,0
house,229.7,premium,urban,4,751505,1,1,2
commercial,695.2,premium,urban,2,2486520,0,1,2
renovation,58.7,standard,suburban,4,65694,3,2,1
commercial,366.1,standard,urban,3,897524,0,2,2
renovation,83.4,premium,suburban,5,175568,3,1,1
house,217.1,premium,urban,2,436337,1,1,2
landscaping,300.0,premium,suburban,3,76770,2,1,1
house,177.4,standard,urban,5,608837,1,2,2
landscaping,266.4,basic,urban,2,45938,2,0,2
house,192.9,premium,urban,2,493749,1,1,2
house,176.9,premium,urban,3,612944,1,1,2
house,196.9,premium,urban,3,588504,1,1,2
landscaping,391.5,standard,urban,1,84546,2,2,2
house,147.3,basic,suburban,3,222261,1,0,1
renovation,40.4,basic,rural,2,24332,3,0,0
house,110.0,basic,rural,1,83942,1,0,0
landscaping,210.3,standard,rural,4,37659,2,2,0
commercial,538.3,basic,rural,5,878129,0,0,0
renovation,71.2,standard,urban,5,151137,3,2,2
commercial,349.8,standard,urban,3,946120,0,2,2
commercial,409.5,standard,rural,3,679002,0,2,0
landscaping,365.2,premium,suburban,1,67958,2,1,1
house,163.4,premium,suburban,1,316098,1,1,1
landscaping,420.7,basic,suburban,2,77233,2,0,1
landscaping,407.4,basic,rural,5,81148,2,0,0
commercial,270.2,premium,urban,2,742594,0,1,2
house,235.0,premium,rural,4,559489,1,1,0
renovation,49.0,basic,urban,2,50894,3,0,2
house,107.6,basic,rural,3,108166,1,0,0
house,197.1,basic,rural,1,164421,1,0,0
renovation,114.7,standard,suburban,2,105455,3,2,1
renovation,47.2,basic,suburban,3,46097,3,0,1
renovation,118.9,basic,urban,5,180135,3,0,2
renovation,111.2,standard,urban,2,145646,3,2,2
commercial,468.7,basic,rural,4,814109,0,0,0
renovation,66.2,basic,urban,5,98480,3,0,2
house,123.1,premium,rural,2,199861,1,1,0
landscaping,367.1,standard,urban,5,125077,2,2,2
renovation,102.3,standard,suburban,5,156028,3,2,1
landscaping,375.7,standard,rural,2,57411,2,2,0
commercial,296.7,basic,rural,4,444553,0,0,0
commercial,566.8,premium,urban,4,2830018,0,1,2
landscaping,324.0,basic,rural,4,52169,2,0,0
landscaping,279.5,premium,rural,3,65779,2,1,0
landscaping,134.8,basic,urban,4,28675,2,0,2
house,194.2,basic,rural,5,299886,1,0,0
commercial,437.1,basic,rural,2,551817,0,0,0
commercial,625.1,basic,rural,1,653220,0,0,0
renovation,66.9,premium,rural,2,79513,3,1,0
landscaping,300.1,premium,rural,1,43985,2,1,0
commercial,237.7,premium,urban,3,987161,0,1,2
house,178.1,premium,urban,2,425803,1,1,2
commercial,464.2,basic,urban,4,1011660,0,0,2
renovation,93.2,standard,rural,5,108763,3,2,0
house,172.2,standard,urban,2,355977,1,2,2
commercial,424.0,premium,suburban,2,1087532,0,1,1
renovation,90.0,basic,rural,5,89531,3,0,0
commercial,320.9,premium,rural,1,592787,0,1,0
commercial,550.6,premium,urban,1,1626545,0,1,2
landscaping,255.6,premium,rural,4,70964,2,1,0
commercial,827.4,basic,rural,2,857258,0,0,0
renovation,123.0,basic,rural,4,103381,3,0,0
renovation,28.1,standard,rural,2,21085,3,2,0
landscaping,333.4,premium,urban,1,91196,2,1,2
landscaping,179.7,premium,rural,4,43265,2,1,0
renovation,39.4,premium,urban,4,82520,3,1,2
house,160.0,standard,suburban,2,236954,1,2,1
commercial,770.4,premium,rural,5,2395448,0,1,0
landscaping,183.4,standard,suburban,3,38590,2,2,1
landscaping,291.9,standard,rural,2,38537,2,2,0
house,106.8,premium,suburban,5,278288,1,1,1
house,158.7,standard,rural,1,136520,1,2,0
landscaping,45.7,standard,rural,1,6567,2,2,0
commercial,339.7,standard,rural,2,505362,0,2,0
landscaping,456.3,premium,rural,5,134201,2,1,0
house,163.1,basic,urban,1,177999,1,0,2
landscaping,176.7,standard,suburban,1,28252,2,2,1
house,161.6,premium,suburban,3,371799,1,1,1
house,160.7,standard,suburban,1,208785,1,2,1
renovation,117.1,standard,rural,5,123118,3,2,0
commercial,527.1,basic,suburban,4,843149,0,0,1
commercial,634.0,premium,suburban,2,1815951,0,1,1
renovation,57.0,basic,urban,1,43251,3,0,2
commercial,300.0,basic,urban,3,603963,0,0,2
house,185.1,premium,suburban,3,443173,1,1,1
house,229.6,premium,urban,2,589228,1,1,2
renovation,64.2,standard,rural,2,56162,3,2,0
house,89.1,premium,urban,1,207299,1,1,2
landscaping,330.5,standard,rural,1,36054,2,2,0
house,111.1,basic,suburban,4,182531,1,0,1
house,161.2,basic,suburban,3,227230,1,0,1
landscaping,309.9,standard,suburban,1,43495,2,2,1
house,160.1,standard,urban,2,306151,1,2,2
renovation,82.9,basic,urban,1,77950,3,0,2
house,140.3,premium,rural,3,262229,1,1,0
renovation,116.3,premium,rural,3,170660,3,1,0
landscaping,438.3,standard,suburban,4,122644,2,2,1
landscaping,274.8,standard,suburban,5,79016,2,2,1
landscaping,387.6,standard,urban,3,121399,2,2,2
renovation,76.7,premium,suburban,1,79081,3,1,1
renovation,99.2,standard,urban,4,161948,3,2,2
commercial,564.8,basic,rural,5,863980,0,0,0
house,84.3,premium,suburban,3,215251,1,1,1
commercial,310.2,basic,rural,2,419815,0,0,0
commercial,727.1,premium,suburban,1,1358034,0,1,1
renovation,64.1,basic,suburban,1,36707,3,0,1
landscaping,294.3,basic,suburban,4,49155,2,0,1
renovation,103.3,basic,rural,1,60131,3,0,0
renovation,71.7,basic,suburban,4,78650,3,0,1
commercial,552.8,standard,urban,3,1701173,0,2,2
landscaping,346.7,standard,suburban,5,98341,2,2,1
renovation,49.2,basic,urban,5,72903,3,0,2
renovation,84.5,basic,urban,1,65502,3,0,2
landscaping,263.6,premium,suburban,2,69606,2,1,1
house,71.6,premium,rural,4,159869,1,1,0
renovation,62.8,standard,urban,4,100054,3,2,2
house,96.2,basic,rural,2,90596,1,0,0
renovation,72.4,standard,urban,3,106960,3,2,2
house,154.0,standard,rural,5,249372,1,2,0
house,184.9,standard,urban,3,394064,1,2,2
renovation,86.9,standard,rural,5,89267,3,2,0
commercial,326.0,basic,urban,4,760032,0,0,2
renovation,75.7,basic,suburban,2,53754,3,0,1
renovation,47.2,premium,urban,3,88287,3,1,2
landscaping,353.9,standard,suburban,5,93527,2,2,1
commercial,622.0,premium,rural,4,1698299,0,1,0
commercial,642.9,basic,rural,2,588818,0,0,0
landscaping,162.8,basic,urban,1,23600,2,0,2
commercial,731.5,basic,suburban,4,1585113,0,0,1
landscaping,256.2,premium,suburban,5,91623,2,1,1
renovation,80.4,premium,rural,3,84985,3,1,0
commercial,570.7,basic,rural,4,854175,0,0,0
commercial,270.1,premium,suburban,2,613622,0,1,1
renovation,58.0,standard,suburban,4,87751,3,2,1
renovation,87.0,premium,suburban,2,114049,3,1,1
house,140.7,standard,urban,2,271570,1,2,2
commercial,634.6,standard,urban,3,1426724,0,2,2
commercial,481.1,premium,suburban,1,1052722,0,1,1
commercial,452.3,basic,suburban,1,612561,0,0,1
landscaping,307.3,standard,rural,1,35641,2,2,0
renovation,41.2,basic,rural,4,35688,3,0,0
landscaping,254.6,premium,suburban,1,55278,2,1,1
renovation,74.2,standard,suburban,1,54853,3,2,1
house,93.4,standard,rural,3,129806,1,2,0
commercial,425.3,premium,urban,2,1322505,0,1,2
landscaping,284.2,basic,suburban,3,47618,2,0,1
house,95.0,premium,suburban,2,176054,1,1,1
landscaping,542.9,basic,rural,4,94235,2,0,0
landscaping,253.1,basic,suburban,1,28655,2,0,1
landscaping,314.2,basic,urban,5,83776,2,0,2
renovation,20.0,premium,suburban,3,30185,3,1,1
commercial,208.5,premium,suburban,5,809408,0,1,1
landscaping,310.0,basic,rural,1,32336,2,0,0
renovation,130.9,premium,suburban,5,241144,3,1,1
renovation,112.4,standard,urban,3,154144,3,2,2
renovation,41.2,standard,urban,4,60075,3,2,2
house,76.7,premium,rural,1,97866,1,1,0
landscaping,189.6,basic,suburban,3,30805,2,0,1
house,147.3,standard,suburban,4,269552,1,2,1
commercial,748.2,standard,suburban,5,1878115,0,2,1
house,65.8,premium,rural,2,84166,1,1,0
landscaping,294.3,basic,suburban,1,33970,2,0,1
commercial,309.5,premium,urban,2,945392,0,1,2
commercial,680.1,standard,suburban,4,1705840,0,2,1
commercial,833.4,standard,rural,2,1382974,0,2,0
landscaping,199.4,standard,suburban,5,51979,2,2,1
renovation,121.1,standard,urban,2,161661,3,2,2
commercial,556.8,basic,suburban,4,963361,0,0,1
renovation,54.6,premium,rural,2,66035,3,1,0
house,134.2,standard,urban,1,208820,1,2,2
renovation,123.3,premium,suburban,3,150675,3,1,1
renovation,85.5,premium,urban,5,245213,3,1,2
commercial,743.3,basic,suburban,2,1088187,0,0,1
landscaping,344.1,standard,suburban,4,76536,2,2,1
renovation,98.1,standard,rural,1,64654,3,2,0
landscaping,336.8,basic,urban,3,74638,2,0,2
commercial,339.6,basic,rural,4,501985,0,0,0
landscaping,320.2,basic,urban,1,48751,2,0,2
house,49.4,standard,rural,3,66321,1,2,0
landscaping,363.6,premium,rural,5,106364,2,1,0
commercial,269.6,premium,urban,5,1348231,0,1,2
commercial,327.7,premium,urban,1,897196,0,1,2
commercial,187.7,standard,suburban,1,323881,0,2,1
landscaping,237.2,premium,urban,3,88056,2,1,2
commercial,783.7,premium,suburban,2,1483613,0,1,1
landscaping,103.7,premium,suburban,5,37662,2,1,1
commercial,729.4,basic,urban,5,2041053,0,0,2
landscaping,208.3,premium,urban,3,82215,2,1,2
landscaping,267.6,basic,urban,3,66219,2,0,2
renovation,100.4,premium,urban,1,162191,3,1,2
renovation,60.9,premium,urban,4,151971,3,1,2
landscaping,294.6,standard,suburban,3,55791,2,2,1
house,112.5,basic,rural,3,120381,1,0,0
renovation,81.2,standard,rural,3,78276,3,2,0
landscaping,469.0,standard,suburban,4,124823,2,2,1
house,115.0,premium,rural,3,241609,1,1,0
house,166.0,basic,suburban,5,291906,1,0,1
house,181.3,basic,suburban,2,212801,1,0,1
commercial,396.1,standard,urban,4,1193764,0,2,2
commercial,381.2,premium,urban,3,1432957,0,1,2
house,149.9,standard,suburban,3,233715,1,2,1
landscaping,330.8,standard,suburban,2,59365,2,2,1
commercial,898.6,premium,urban,1,2261919,0,1,2
renovation,71.1,premium,suburban,2,92134,3,1,1
renovation,50.1,basic,rural,3,36141,3,0,0
landscaping,348.3,basic,urban,4,78865,2,0,2
house,154.0,premium,suburban,2,289394,1,1,1
house,133.5,basic,rural,4,155643,1,0,0
renovation,105.8,premium,rural,2,115392,3,1,0
landscaping,277.8,basic,rural,4,37770,2,0,0
house,210.1,basic,rural,3,233090,1,0,0
renovation,51.0,standard,suburban,5,69009,3,2,1
house,227.1,premium,suburban,3,449744,1,1,1
house,176.4,standard,rural,1,191072,1,2,0
renovation,90.8,basic,rural,5,71367,3,0,0
commercial,390.0,standard,rural,3,645529,0,2,0
commercial,241.5,premium,suburban,1,480111,0,1,1
landscaping,342.6,premium,rural,2,71953,2,1,0
landscaping,325.3,basic,suburban,4,71096,2,0,1
commercial,593.3,standard,suburban,3,1413682,0,2,1
landscaping,270.2,premium,suburban,3,70096,2,1,1
commercial,599.8,basic,urban,5,1779192,0,0,2
landscaping,82.3,premium,suburban,5,33434,2,1,1
commercial,396.6,premium,rural,3,881589,0,1,0
renovation,20.0,premium,suburban,2,32398,3,1,1
landscaping,469.6,premium,rural,1,93856,2,1,0
landscaping,360.8,standard,urban,1,74052,2,2,2
house,127.3,basic,suburban,4,191216,1,0,1
house,189.2,basic,suburban,4,323136,1,0,1
house,205.3,premium,rural,1,301328,1,1,0
renovation,72.1,standard,urban,3,99747,3,2,2
landscaping,284.1,premium,urban,1,74315,2,1,2
landscaping,305.2,basic,suburban,5,69166,2,0,1
house,156.9,basic,urban,2,222582,1,0,2
renovation,70.2,standard,rural,4,66477,3,2,0
commercial,793.3,basic,suburban,3,1502041,0,0,1
commercial,522.5,premium,urban,5,2579134,0,1,2
landscaping,332.3,basic,urban,3,72131,2,0,2
renovation,91.8,premium,rural,4,101421,3,1,0
house,122.5,standard,urban,5,415343,1,2,2
renovation,85.0,premium,suburban,3,125906,3,1,1
landscaping,127.0,basic,suburban,5,32597,2,0,1
house,82.1,basic,urban,3,129029,1,0,2
commercial,464.4,premium,suburban,1,1025966,0,1,1
house,254.8,basic,rural,2,272257,1,0,0
landscaping,295.1,premium,rural,2,58538,2,1,0
landscaping,418.4,premium,suburban,1,80664,2,1,1
commercial,280.4,basic,suburban,1,337775,0,0,1
commercial,861.9,basic,suburban,1,881806,0,0,1
renovation,79.9,basic,suburban,1,50001,3,0,1
house,153.2,standard,suburban,3,248121,1,2,1
commercial,322.1,basic,rural,5,633361,0,0,0
commercial,545.8,standard,urban,1,1178683,0,2,2
landscaping,270.3,standard,urban,3,83458,2,2,2
house,121.4,basic,suburban,4,171725,1,0,1
landscaping,352.3,premium,suburban,5,108722,2,1,1
renovation,82.1,standard,urban,4,118998,3,2,2
renovation,32.3,basic,urban,1,30881,3,0,2
house,265.2,basic,suburban,2,260294,1,0,1
commercial,305.3,standard,urban,3,917483,0,2,2
landscaping,118.7,premium,suburban,4,35654,2,1,1
landscaping,219.3,basic,rural,5,31484,2,0,0
commercial,673.2,basic,suburban,1,785001,0,0,1
commercial,576.4,standard,rural,5,1142736,0,2,0
renovation,55.6,premium,suburban,3,99187,3,1,1
renovation,111.0,premium,suburban,3,149392,3,1,1
landscaping,359.6,premium,suburban,1,70735,2,1,1
landscaping,411.9,premium,urban,1,104082,2,1,2
commercial,446.6,standard,rural,3,784992,0,2,0
landscaping,262.3,standard,rural,5,60713,2,2,0
commercial,387.0,premium,suburban,2,1016523,0,1,1
commercial,421.1,standard,urban,3,1132239,0,2,2
renovation,68.2,premium,rural,3,84096,3,1,0
renovation,55.0,basic,suburban,3,48780,3,0,1
landscaping,402.9,premium,suburban,4,147200,2,1,1
commercial,459.3,premium,rural,4,1457486,0,1,0
commercial,535.7,basic,rural,2,693035,0,0,0
commercial,454.1,basic,urban,5,1028278,0,0,2
landscaping,421.8,premium,rural,1,78359,2,1,0
landscaping,393.3,premium,suburban,3,113059,2,1,1
commercial,316.7,standard,rural,5,626891,0,2,0
house,171.2,standard,urban,4,429009,1,2,2
renovation,20.0,basic,urban,5,32775,3,0,2
commercial,365.8,premium,urban,3,1379961,0,1,2
renovation,112.3,standard,urban,5,207223,3,2,2
landscaping,237.8,basic,urban,2,47110,2,0,2
renovation,30.3,basic,rural,2,18108,3,0,0
landscaping,389.7,basic,rural,1,31152,2,0,0
house,79.5,basic,rural,1,58594,1,0,0
commercial,357.1,standard,suburban,3,788921,0,2,1
renovation,52.3,basic,suburban,1,36032,3,0,1
landscaping,312.8,basic,suburban,1,36693,2,0,1
landscaping,328.3,standard,urban,2,78121,2,2,2
commercial,657.6,standard,suburban,2,1014956,0,2,1
renovation,137.1,basic,urban,2,128625,3,0,2
house,139.4,premium,suburban,3,377129,1,1,1
commercial,160.1,standard,suburban,2,302044,0,2,1
house,101.2,standard,urban,3,249909,1,2,2
commercial,523.1,standard,rural,3,780727,0,2,0
renovation,60.2,premium,urban,5,131576,3,1,2
renovation,20.0,premium,suburban,2,26649,3,1,1
house,142.5,premium,suburban,1,231553,1,1,1
renovation,93.9,standard,rural,3,79529,3,2,0
landscaping,290.8,premium,rural,5,76578,2,1,0
house,75.9,premium,urban,4,262921,1,1,2
house,152.7,standard,rural,4,240208,1,2,0
commercial,927.3,standard,suburban,2,1458216,0,2,1
renovation,117.6,standard,urban,1,119878,3,2,2
landscaping,275.6,basic,suburban,3,41938,2,0,1
renovation,59.6,standard,urban,3,79653,3,2,2
renovation,103.9,basic,rural,3,77840,3,0,0
house,214.7,basic,urban,5,482891,1,0,2
renovation,123.0,premium,rural,1,125498,3,1,0
house,186.0,basic,rural,2,180682,1,0,0
commercial,250.1,premium,urban,2,728609,0,1,2
commercial,602.7,standard,suburban,4,1716582,0,2,1
house,153.6,basic,suburban,3,210892,1,0,1
landscaping,380.2,basic,rural,3,56086,2,0,0
renovation,90.0,standard,suburban,5,99199,3,2,1
commercial,355.7,basic,rural,2,403729,0,0,0
house,108.0,premium,suburban,5,370944,1,1,1
renovation,37.1,basic,urban,1,31581,3,0,2
house,149.6,basic,urban,1,182734,1,0,2
landscaping,366.3,basic,urban,5,94548,2,0,2
renovation,126.4,premium,urban,2,274071,3,1,2
renovation,47.1,basic,urban,1,33385,3,0,2
house,283.9,premium,suburban,3,672050,1,1,1
landscaping,276.0,basic,urban,5,64552,2,0,2
commercial,471.4,premium,suburban,2,1281359,0,1,1
renovation,67.0,basic,suburban,1,44834,3,0,1
renovation,61.9,premium,urban,3,104130,3,1,2
commercial,591.4,basic,rural,4,1027642,0,0,0
landscaping,244.4,basic,suburban,2,34734,2,0,1
renovation,147.8,standard,urban,4,229202,3,2,2
landscaping,265.9,premium,urban,1,70798,2,1,2
renovation,54.7,basic,urban,4,70921,3,0,2
house,211.4,standard,rural,1,212122,1,2,0
landscaping,198.6,standard,urban,2,50418,2,2,2
landscaping,375.3,standard,urban,4,103180,2,2,2
renovation,125.6,premium,suburban,2,179865,3,1,1
landscaping,425.0,standard,rural,5,79556,2,2,0
landscaping,400.8,standard,suburban,5,102269,2,2,1
commercial,670.7,premium,rural,3,1519181,0,1,0
house,92.2,premium,rural,3,189423,1,1,0
renovation,69.9,basic,rural,3,51380,3,0,0
house,233.4,standard,urban,1,368454,1,2,2
commercial,353.7,standard,suburban,2,756960,0,2,1
landscaping,239.2,standard,rural,3,41641,2,2,0
house,130.1,premium,suburban,1,194536,1,1,1
landscaping,216.6,standard,urban,5,80451,2,2,2
commercial,182.8,premium,rural,4,458739,0,1,0
house,123.9,standard,urban,5,365560,1,2,2
renovation,92.9,basic,suburban,5,113519,3,0,1
landscaping,93.5,standard,suburban,5,25315,2,2,1
landscaping,464.3,standard,suburban,3,101028,2,2,1
renovation,39.0,basic,suburban,1,26435,3,0,1
commercial,738.6,standard,urban,2,1702583,0,2,2
commercial,416.7,standard,suburban,2,834028,0,2,1
renovation,66.7,basic,rural,5,69632,3,0,0
commercial,403.8,premium,urban,1,1179215,0,1,2
house,130.7,standard,rural,2,164188,1,2,0
renovation,71.4,standard,urban,4,123636,3,2,2
house,229.9,premium,suburban,4,667619,1,1,1
renovation,45.5,premium,suburban,3,51050,3,1,1
renovation,79.3,basic,suburban,1,47274,3,0,1
landscaping,138.4,basic,suburban,5,30793,2,0,1
commercial,552.6,standard,rural,2,762722,0,2,0
commercial,584.7,standard,urban,5,2213329,0,2,2
commercial,296.1,standard,suburban,4,725209,0,2,1
house,81.4,premium,urban,4,289285,1,1,2
house,193.8,basic,urban,4,368911,1,0,2
landscaping,195.6,premium,rural,1,34106,2,1,0
landscaping,137.9,premium,suburban,1,28013,2,1,1
commercial,442.0,premium,urban,5,2093406,0,1,2
commercial,197.5,premium,urban,1,490795,0,1,2
landscaping,279.4,basic,urban,3,65658,2,0,2
house,138.4,standard,suburban,5,259314,1,2,1
landscaping,284.1,standard,suburban,5,69859,2,2,1
house,179.8,premium,urban,5,665040,1,1,2
house,101.0,premium,suburban,4,241865,1,1,1
commercial,211.7,standard,urban,5,704125,0,2,2
commercial,591.1,basic,urban,1,983324,0,0,2
commercial,440.5,standard,urban,5,1943556,0,2,2
renovation,53.5,premium,suburban,2,61698,3,1,1
house,161.2,premium,rural,2,287361,1,1,0
house,181.8,standard,suburban,2,219299,1,2,1
house,144.5,premium,suburban,3,326577,1,1,1
commercial,551.2,standard,rural,1,693472,0,2,0
commercial,638.7,basic,rural,4,972265,0,0,0
renovation,103.7,premium,suburban,2,145150,3,1,1
commercial,437.3,basic,rural,5,787317,0,0,0
landscaping,301.3,premium,rural,1,53044,2,1,0
renovation,115.8,basic,urban,4,178322,3,0,2
landscaping,280.4,premium,urban,2,85688,2,1,2
house,51.0,premium,suburban,5,146465,1,1,1
renovation,50.8,standard,suburban,5,80394,3,2,1
renovation,77.1,basic,urban,5,102626,3,0,2
landscaping,284.0,standard,rural,1,37273,2,2,0
landscaping,389.6,standard,suburban,2,70282,2,2,1
commercial,513.3,basic,rural,1,461625,0,0,0
landscaping,135.3,basic,urban,5,40293,2,0,2
commercial,746.6,basic,urban,3,1685488,0,0,2
house,174.7,premium,urban,4,436213,1,1,2
landscaping,284.0,basic,suburban,5,63989,2,0,1
house,134.0,premium,urban,2,351996,1,1,2
commercial,564.9,standard,rural,1,555592,0,2,0
commercial,396.5,basic,suburban,5,830860,0,0,1
renovation,54.7,standard,urban,3,82743,3,2,2
commercial,535.5,premium,urban,3,1616831,0,1,2
commercial,617.8,basic,urban,2,1071613,0,0,2
commercial,405.1,premium,rural,2,778292,0,1,0
landscaping,397.2,standard,rural,1,53878,2,2,0
house,160.8,standard,suburban,4,326539,1,2,1
renovation,109.9,standard,rural,3,95672,3,2,0
commercial,891.7,standard,urban,4,2822200,0,2,2
landscaping,495.1,basic,suburban,4,97633,2,0,1
house,143.4,standard,rural,1,130448,1,2,0
commercial,95.6,basic,rural,2,109062,0,0,0
renovation,40.4,standard,rural,4,32562,3,2,0
renovation,114.8,basic,rural,4,103179,3,0,0
commercial,408.5,premium,rural,5,1258160,0,1,0
renovation,128.2,premium,suburban,2,156831,3,1,1
house,159.0,standard,rural,3,223088,1,2,0
commercial,741.3,basic,urban,2,1175821,0,0,2
landscaping,200.7,standard,rural,3,36875,2,2,0
house,120.7,standard,urban,4,263980,1,2,2
landscaping,237.0,premium,rural,3,59822,2,1,0
commercial,520.3,basic,urban,3,1148423,0,0,2
renovation,84.6,basic,urban,1,68046,3,0,2
house,141.7,standard,rural,3,211138,1,2,0
commercial,728.1,premium,rural,2,1834552,0,1,0
house,66.9,basic,suburban,3,94503,1,0,1
landscaping,394.1,basic,suburban,2,57842,2,0,1
renovation,21.0,standard,rural,1,13343,3,2,0
commercial,450.2,basic,suburban,1,449849,0,0,1
house,119.9,premium,suburban,2,249302,1,1,1
landscaping,246.8,standard,urban,5,86026,2,2,2
house,119.4,basic,suburban,2,147951,1,0,1
renovation,79.9,standard,urban,2,110881,3,2,2
commercial,698.9,standard,rural,1,892846,0,2,0
landscaping,62.8,standard,suburban,3,15890,2,2,1
house,169.0,premium,urban,5,625758,1,1,2
commercial,242.3,standard,suburban,2,460535,0,2,1
commercial,615.2,basic,rural,2,698098,0,0,0
house,288.3,premium,suburban,5,895230,1,1,1
renovation,53.0,basic,suburban,4,49020,3,0,1
commercial,716.0,basic,suburban,5,1692394,0,0,1
commercial,597.5,premium,suburban,1,1389160,0,1,1
commercial,475.0,premium,rural,3,1211725,0,1,0
commercial,608.2,premium,suburban,2,1666901,0,1,1
house,224.0,basic,suburban,2,253160,1,0,1
renovation,69.5,standard,urban,2,67470,3,2,2
house,96.7,basic,urban,2,160728,1,0,2
landscaping,229.0,basic,suburban,5,50939,2,0,1
commercial,720.1,premium,rural,3,1690526,0,1,0
renovation,47.7,standard,suburban,1,38999,3,2,1
commercial,260.9,basic,urban,3,640286,0,0,2
renovation,73.6,premium,urban,1,119836,3,1,2
house,205.4,basic,rural,4,272731,1,0,0
landscaping,357.4,basic,suburban,1,42348,2,0,1
landscaping,309.6,basic,suburban,5,62900,2,0,1
house,146.9,basic,urban,1,192308,1,0,2
commercial,288.5,premium,urban,4,1339651,0,1,2
house,169.2,premium,suburban,5,470357,1,1,1
commercial,270.7,basic,rural,5,489593,0,0,0
commercial,717.8,standard,urban,2,1562284,0,2,2
renovation,97.2,standard,rural,4,109720,3,2,0
commercial,539.9,basic,urban,4,1336675,0,0,2
house,176.0,standard,urban,3,352993,1,2,2
landscaping,342.1,standard,urban,4,100558,2,2,2
landscaping,345.2,premium,urban,1,91582,2,1,2
renovation,55.8,premium,urban,3,126092,3,1,2
house,102.1,premium,urban,3,269855,1,1,2
