project_type,project_type_encoded,size_sqm,num_workers,location,location_encoded,materials,materials_encoded,complexity,budget_tnd,requested_duration,realistic_duration,artisan_experience,season,season_encoded,weather_risk,delay_risk_score,delay_risk,is_delayed
commercial,2,92.3,6,suburban,1,premium,2,2.3,123242,71,10,9.3,autumn,3,0.3,0.133,LOW,0
landscaping,3,266.2,1,suburban,1,basic,0,4.3,134930,104,60,1.5,spring,1,0.1,0.365,MEDIUM,0
landscaping,3,482.7,4,rural,0,standard,1,4.1,28797,98,51,5.0,winter,0,0.8,0.481,MEDIUM,1
commercial,2,79.7,6,urban,2,standard,1,1.0,8449,8,5,9.9,autumn,3,0.3,0.0,LOW,0
landscaping,3,397.0,2,urban,2,premium,2,1.8,99497,56,33,1.3,spring,1,0.1,0.299,LOW,1
landscaping,3,142.4,3,rural,0,basic,0,1.3,157626,116,5,2.0,summer,2,0.1,0.248,LOW,0
house,0,269.4,7,suburban,1,basic,0,1.9,50366,58,16,3.0,autumn,3,0.3,0.211,LOW,1
house,0,370.4,5,urban,2,basic,0,4.5,92708,105,45,5.8,autumn,3,0.3,0.163,LOW,1
renovation,1,374.8,6,rural,0,standard,1,4.9,53473,68,43,7.5,summer,2,0.1,0.164,LOW,0
commercial,2,387.3,2,urban,2,premium,2,1.8,125695,19,81,0.7,autumn,3,0.3,0.628,HIGH,1
house,0,488.7,2,suburban,1,premium,2,1.3,13313,87,60,2.1,autumn,3,0.3,0.44,MEDIUM,1
commercial,2,426.8,7,urban,2,premium,2,1.6,29804,40,34,5.2,autumn,3,0.3,0.277,LOW,0
house,0,206.7,4,urban,2,basic,0,4.4,81517,48,23,13.4,spring,1,0.1,0.251,LOW,0
commercial,2,178.2,1,rural,0,premium,2,4.2,19901,103,123,12.7,winter,0,0.8,0.588,MEDIUM,1
landscaping,3,246.9,3,rural,0,premium,2,3.0,80338,92,22,9.7,winter,0,0.8,0.153,LOW,0
landscaping,3,273.7,3,rural,0,premium,2,1.4,197714,93,12,10.4,summer,2,0.1,0.0,LOW,0
house,0,366.7,5,rural,0,standard,1,4.2,25547,23,59,14.4,winter,0,0.8,0.928,HIGH,1
commercial,2,196.0,6,suburban,1,standard,1,5.0,194296,89,36,10.1,autumn,3,0.3,0.117,LOW,0
renovation,1,76.2,6,rural,0,premium,2,4.3,18399,16,16,0.8,autumn,3,0.3,0.346,LOW,1
renovation,1,168.9,1,rural,0,basic,0,4.9,135133,73,66,2.3,winter,0,0.8,0.453,MEDIUM,1
landscaping,3,332.6,2,urban,2,premium,2,2.9,179684,16,28,12.1,spring,1,0.1,0.419,MEDIUM,1
landscaping,3,312.9,5,urban,2,basic,0,4.7,106550,38,16,10.0,spring,1,0.1,0.086,LOW,0
landscaping,3,466.2,7,urban,2,standard,1,1.4,78319,84,8,6.9,autumn,3,0.3,0.103,LOW,1
commercial,2,143.1,5,urban,2,basic,0,3.7,101729,119,15,9.9,autumn,3,0.3,0.037,LOW,1
commercial,2,434.8,1,urban,2,premium,2,2.0,111083,27,108,11.4,spring,1,0.1,0.552,MEDIUM,1
house,0,372.4,7,suburban,1,standard,1,1.7,15502,92,18,11.4,summer,2,0.1,0.264,LOW,0
landscaping,3,372.1,2,urban,2,standard,1,1.5,146566,33,12,14.5,autumn,3,0.3,0.028,LOW,0
commercial,2,190.9,6,rural,0,standard,1,3.2,120118,62,27,9.4,autumn,3,0.3,0.001,LOW,0
house,0,74.1,4,rural,0,standard,1,3.5,153419,117,16,2.8,summer,2,0.1,0.172,LOW,1
commercial,2,378.6,3,urban,2,standard,1,5.0,24340,102,84,13.3,winter,0,0.8,0.512,MEDIUM,1
landscaping,3,378.9,6,suburban,1,basic,0,3.5,41665,47,18,5.9,winter,0,0.8,0.238,LOW,0
landscaping,3,428.6,2,suburban,1,basic,0,1.1,150418,20,9,11.4,summer,2,0.1,0.062,LOW,0
renovation,1,385.4,7,urban,2,basic,0,2.2,175947,107,17,2.3,summer,2,0.1,0.137,LOW,0
renovation,1,396.8,6,urban,2,basic,0,3.4,81348,91,32,0.5,winter,0,0.8,0.266,LOW,0
commercial,2,108.4,4,suburban,1,basic,0,4.2,23133,77,15,7.5,summer,2,0.1,0.188,LOW,0
renovation,1,302.6,7,rural,0,standard,1,3.8,15297,30,26,10.3,summer,2,0.1,0.421,MEDIUM,0
landscaping,3,417.8,1,rural,0,basic,0,3.5,34055,30,71,5.3,spring,1,0.1,0.867,HIGH,1
commercial,2,362.6,7,urban,2,premium,2,4.3,106458,51,95,2.6,summer,2,0.1,0.726,HIGH,1
renovation,1,234.0,2,suburban,1,standard,1,2.5,17196,98,19,11.2,summer,2,0.1,0.36,MEDIUM,1
commercial,2,332.0,1,rural,0,standard,1,3.6,101752,53,223,2.2,winter,0,0.8,0.712,HIGH,1
renovation,1,424.7,3,rural,0,premium,2,4.0,190311,75,98,3.2,autumn,3,0.3,0.402,MEDIUM,1
commercial,2,42.3,1,rural,0,standard,1,3.3,119363,76,17,8.0,winter,0,0.8,0.19,LOW,1
commercial,2,151.9,6,urban,2,basic,0,1.9,78498,70,11,3.2,autumn,3,0.3,0.191,LOW,0
commercial,2,257.0,6,urban,2,premium,2,3.5,14719,45,39,7.7,summer,2,0.1,0.347,LOW,0
landscaping,3,389.8,6,urban,2,standard,1,1.9,30613,63,10,11.4,winter,0,0.8,0.211,LOW,1
renovation,1,62.4,4,suburban,1,basic,0,1.2,12076,13,5,4.1,summer,2,0.1,0.191,LOW,0
renovation,1,157.8,6,urban,2,basic,0,2.7,169734,76,9,1.4,autumn,3,0.3,0.228,LOW,0
commercial,2,59.4,2,urban,2,standard,1,3.2,72454,56,11,6.5,winter,0,0.8,0.099,LOW,1
renovation,1,40.3,3,rural,0,basic,0,4.9,114233,77,5,6.2,summer,2,0.1,0.226,LOW,0
landscaping,3,323.5,5,rural,0,basic,0,4.9,55023,9,24,11.0,spring,1,0.1,0.498,MEDIUM,1
renovation,1,175.1,5,suburban,1,standard,1,3.4,73154,47,21,0.8,summer,2,0.1,0.304,LOW,0
landscaping,3,71.8,6,urban,2,premium,2,3.2,107061,67,5,3.8,spring,1,0.1,0.191,LOW,0
landscaping,3,402.1,1,urban,2,basic,0,3.2,20936,76,38,12.8,autumn,3,0.3,0.416,MEDIUM,0
landscaping,3,342.2,1,suburban,1,basic,0,3.7,95148,118,43,7.2,summer,2,0.1,0.21,LOW,0
renovation,1,399.9,6,suburban,1,standard,1,4.2,94552,70,33,12.0,spring,1,0.1,0.159,LOW,0
commercial,2,439.9,2,rural,0,premium,2,2.3,152567,92,162,0.8,summer,2,0.1,0.585,MEDIUM,1
commercial,2,106.0,6,rural,0,standard,1,2.0,92992,64,9,11.4,summer,2,0.1,0.022,LOW,0
renovation,1,74.3,3,rural,0,standard,1,4.6,110047,105,16,2.0,winter,0,0.8,0.361,MEDIUM,1
renovation,1,208.8,3,urban,2,premium,2,2.8,43144,18,18,8.1,winter,0,0.8,0.087,LOW,0
house,0,301.5,5,suburban,1,basic,0,2.2,130322,21,17,13.8,spring,1,0.1,0.017,LOW,0
renovation,1,357.1,4,rural,0,premium,2,1.7,124627,115,21,13.6,spring,1,0.1,0.015,LOW,1
renovation,1,96.1,1,rural,0,standard,1,1.1,75920,38,7,10.0,spring,1,0.1,0.04,LOW,0
house,0,319.2,6,suburban,1,basic,0,4.4,27941,17,34,7.8,spring,1,0.1,0.903,HIGH,1
commercial,2,226.3,7,rural,0,basic,0,1.5,146411,40,16,2.9,winter,0,0.8,0.306,LOW,0
renovation,1,106.2,3,rural,0,standard,1,3.7,23141,74,12,10.9,spring,1,0.1,0.138,LOW,0
commercial,2,373.8,5,rural,0,basic,0,2.3,62816,108,33,8.3,summer,2,0.1,0.052,LOW,0
house,0,251.4,7,rural,0,premium,2,3.6,66242,94,40,7.7,autumn,3,0.3,0.246,LOW,0
house,0,111.7,5,urban,2,basic,0,1.5,22000,39,5,4.0,autumn,3,0.3,0.058,LOW,0
landscaping,3,241.7,2,suburban,1,premium,2,3.5,89924,28,26,11.2,winter,0,0.8,0.241,LOW,1
landscaping,3,149.4,1,urban,2,basic,0,1.5,136855,72,8,5.1,winter,0,0.8,0.081,LOW,0
commercial,2,108.6,4,suburban,1,premium,2,1.9,168223,93,18,1.6,winter,0,0.8,0.298,LOW,1
house,0,131.3,7,suburban,1,standard,1,1.9,11472,59,6,10.0,autumn,3,0.3,0.268,LOW,1
house,0,390.1,3,suburban,1,premium,2,1.2,180275,103,25,13.2,autumn,3,0.3,0.0,LOW,0
house,0,213.2,6,rural,0,standard,1,2.8,173590,78,32,2.4,spring,1,0.1,0.093,LOW,1
house,0,255.2,1,rural,0,standard,1,1.2,149281,32,30,14.5,summer,2,0.1,0.035,LOW,0
landscaping,3,487.2,3,urban,2,premium,2,4.0,161957,90,45,14.7,summer,2,0.1,0.234,LOW,0
landscaping,3,325.3,1,urban,2,premium,2,2.1,175187,20,46,3.7,autumn,3,0.3,0.604,HIGH,1
house,0,62.1,1,urban,2,basic,0,2.0,7419,58,9,4.9,spring,1,0.1,0.23,LOW,0
landscaping,3,171.0,6,suburban,1,basic,0,3.4,17576,98,6,12.9,autumn,3,0.3,0.214,LOW,0
commercial,2,449.4,7,suburban,1,standard,1,3.5,108607,68,56,12.0,autumn,3,0.3,0.037,LOW,0
house,0,497.9,2,suburban,1,standard,1,3.3,133471,54,81,12.6,summer,2,0.1,0.48,MEDIUM,0
commercial,2,74.1,5,suburban,1,basic,0,1.1,174368,104,5,13.2,autumn,3,0.3,0.044,LOW,0
house,0,232.3,4,rural,0,basic,0,4.6,95564,21,36,9.2,winter,0,0.8,0.709,HIGH,1
landscaping,3,238.4,5,rural,0,premium,2,3.5,120381,35,21,9.8,summer,2,0.1,0.145,LOW,0
renovation,1,140.1,4,urban,2,basic,0,3.0,132184,72,9,4.4,summer,2,0.1,0.105,LOW,1
house,0,156.4,6,suburban,1,standard,1,1.3,54606,23,9,1.1,autumn,3,0.3,0.251,LOW,1
house,0,142.3,2,suburban,1,premium,2,4.9,69613,119,44,9.5,summer,2,0.1,0.204,LOW,0
commercial,2,252.9,1,rural,0,premium,2,3.1,6074,52,203,1.2,spring,1,0.1,1.0,HIGH,1
renovation,1,426.6,1,urban,2,standard,1,2.4,161504,55,69,3.7,spring,1,0.1,0.389,MEDIUM,0
house,0,160.6,5,suburban,1,premium,2,2.1,164550,27,17,5.5,summer,2,0.1,0.061,LOW,1
house,0,262.0,3,suburban,1,premium,2,1.2,92866,52,23,2.9,spring,1,0.1,0.138,LOW,0
landscaping,3,444.7,5,urban,2,premium,2,3.9,123542,118,40,4.8,winter,0,0.8,0.324,LOW,1
commercial,2,369.1,1,rural,0,basic,0,3.5,14971,115,131,12.5,summer,2,0.1,0.518,MEDIUM,1
commercial,2,150.6,4,suburban,1,standard,1,2.5,93966,88,25,1.8,winter,0,0.8,0.299,LOW,0
renovation,1,453.2,4,rural,0,premium,2,1.3,74180,45,24,6.5,autumn,3,0.3,0.109,LOW,0
house,0,447.4,5,rural,0,premium,2,1.0,129039,79,23,9.4,winter,0,0.8,0.205,LOW,0
house,0,86.7,2,urban,2,premium,2,3.1,166658,100,23,2.6,spring,1,0.1,0.112,LOW,0
landscaping,3,168.7,1,suburban,1,standard,1,1.3,82877,107,14,2.3,summer,2,0.1,0.222,LOW,0
renovation,1,372.7,1,suburban,1,standard,1,1.3,80542,113,28,6.7,summer,2,0.1,0.145,LOW,0
house,0,174.0,2,rural,0,basic,0,3.4,49124,38,27,12.4,spring,1,0.1,0.132,LOW,1
house,0,232.6,3,urban,2,basic,0,3.3,77379,63,36,0.9,summer,2,0.1,0.239,LOW,0
landscaping,3,270.5,4,urban,2,standard,1,2.7,32806,62,11,11.5,autumn,3,0.3,0.119,LOW,0
landscaping,3,273.1,2,suburban,1,standard,1,3.5,71418,101,24,12.0,spring,1,0.1,0.079,LOW,0
house,0,428.2,2,suburban,1,standard,1,4.4,118143,108,96,7.1,winter,0,0.8,0.268,LOW,0
commercial,2,258.2,3,urban,2,premium,2,3.1,31479,32,76,1.1,autumn,3,0.3,0.736,HIGH,1
commercial,2,212.4,2,rural,0,basic,0,2.6,66075,21,32,7.6,autumn,3,0.3,0.356,MEDIUM,1
house,0,204.1,4,rural,0,basic,0,2.3,178239,74,15,14.9,summer,2,0.1,0.019,LOW,0
renovation,1,315.2,6,rural,0,standard,1,2.6,80175,118,19,11.7,summer,2,0.1,0.106,LOW,0
commercial,2,280.2,5,rural,0,basic,0,4.0,167562,57,51,5.7,autumn,3,0.3,0.245,LOW,0
landscaping,3,113.3,5,rural,0,basic,0,2.4,57698,50,5,12.5,autumn,3,0.3,0.039,LOW,0
renovation,1,304.0,5,urban,2,premium,2,2.8,127116,17,29,3.5,summer,2,0.1,0.616,HIGH,1
house,0,375.3,2,suburban,1,premium,2,3.5,116029,25,117,3.4,winter,0,0.8,0.659,HIGH,1
landscaping,3,48.5,1,rural,0,standard,1,3.8,181854,70,9,9.1,winter,0,0.8,0.25,LOW,0
commercial,2,245.5,6,urban,2,standard,1,1.5,159149,98,20,1.3,autumn,3,0.3,0.266,LOW,0
landscaping,3,46.2,6,suburban,1,basic,0,1.6,95222,54,5,1.9,autumn,3,0.3,0.281,LOW,0
house,0,172.2,4,suburban,1,basic,0,2.1,44629,94,10,6.9,autumn,3,0.3,0.051,LOW,1
commercial,2,200.3,1,rural,0,standard,1,4.5,196244,88,118,6.9,winter,0,0.8,0.55,MEDIUM,1
renovation,1,409.1,3,suburban,1,premium,2,1.8,26307,51,27,6.9,autumn,3,0.3,0.399,MEDIUM,1
house,0,59.4,6,suburban,1,standard,1,2.0,11004,53,5,9.6,summer,2,0.1,0.095,LOW,0
renovation,1,254.1,5,suburban,1,basic,0,1.1,175049,16,7,2.4,winter,0,0.8,0.14,LOW,0
house,0,408.1,3,urban,2,premium,2,1.8,191702,53,35,14.9,spring,1,0.1,0.0,LOW,1
commercial,2,72.2,6,suburban,1,premium,2,1.1,148885,31,5,9.7,spring,1,0.1,0.0,LOW,0
renovation,1,470.4,4,rural,0,basic,0,3.6,154393,42,38,10.7,summer,2,0.1,0.0,LOW,0
renovation,1,369.9,6,rural,0,premium,2,2.6,84386,108,37,4.9,spring,1,0.1,0.17,LOW,0
house,0,301.2,2,rural,0,premium,2,1.0,24684,108,29,4.8,autumn,3,0.3,0.095,LOW,0
landscaping,3,403.4,6,urban,2,premium,2,1.2,19216,19,8,10.2,autumn,3,0.3,0.272,LOW,1
commercial,2,218.6,7,urban,2,standard,1,4.7,83995,33,54,0.8,spring,1,0.1,0.827,HIGH,1
landscaping,3,425.8,1,rural,0,standard,1,3.6,195901,27,104,3.6,autumn,3,0.3,0.663,HIGH,1
commercial,2,387.0,7,suburban,1,premium,2,4.6,103101,68,84,7.1,winter,0,0.8,0.594,MEDIUM,1
commercial,2,329.4,2,urban,2,basic,0,2.0,144221,59,28,12.2,summer,2,0.1,0.021,LOW,0
landscaping,3,97.2,7,suburban,1,basic,0,3.9,83282,37,5,4.6,winter,0,0.8,0.207,LOW,0
commercial,2,55.5,4,suburban,1,basic,0,2.6,25036,119,5,7.9,winter,0,0.8,0.0,LOW,0
landscaping,3,362.3,7,suburban,1,premium,2,3.3,96059,12,29,4.1,winter,0,0.8,0.778,HIGH,1
landscaping,3,178.6,3,urban,2,premium,2,4.3,30336,15,18,12.7,spring,1,0.1,0.373,MEDIUM,1
commercial,2,449.2,5,urban,2,standard,1,2.7,78576,62,43,14.5,spring,1,0.1,0.0,LOW,0
house,0,262.1,1,suburban,1,basic,0,4.7,169628,61,138,0.6,summer,2,0.1,0.793,HIGH,1
house,0,365.1,5,urban,2,premium,2,1.7,59296,17,23,14.3,spring,1,0.1,0.301,LOW,0
house,0,79.5,3,rural,0,premium,2,3.5,199896,23,20,5.7,autumn,3,0.3,0.221,LOW,0
landscaping,3,233.4,7,urban,2,premium,2,1.4,128713,105,6,5.9,spring,1,0.1,0.02,LOW,0
commercial,2,225.8,5,suburban,1,standard,1,2.7,145332,15,24,10.0,autumn,3,0.3,0.424,MEDIUM,1
landscaping,3,131.4,5,suburban,1,premium,2,4.0,12008,15,16,2.5,winter,0,0.8,0.66,HIGH,1
commercial,2,377.1,4,rural,0,standard,1,4.9,15179,34,97,10.8,winter,0,0.8,0.82,HIGH,1
landscaping,3,448.4,4,suburban,1,standard,1,1.2,135039,55,13,2.1,spring,1,0.1,0.113,LOW,0
commercial,2,422.7,6,rural,0,premium,2,2.0,182658,8,80,0.8,spring,1,0.1,0.585,MEDIUM,1
commercial,2,261.6,7,suburban,1,premium,2,2.3,181683,30,28,11.0,autumn,3,0.3,0.206,LOW,0
renovation,1,216.9,1,urban,2,premium,2,2.2,155928,53,43,3.7,winter,0,0.8,0.256,LOW,1
commercial,2,300.4,2,urban,2,standard,1,4.1,162395,40,96,3.1,summer,2,0.1,0.647,HIGH,1
renovation,1,186.1,1,urban,2,premium,2,4.1,106002,63,57,5.9,winter,0,0.8,0.28,LOW,0
landscaping,3,333.8,7,urban,2,standard,1,4.5,136738,38,19,13.5,winter,0,0.8,0.337,LOW,0
commercial,2,245.3,6,suburban,1,basic,0,1.6,180394,35,16,3.8,spring,1,0.1,0.059,LOW,0
commercial,2,381.3,7,suburban,1,basic,0,3.7,118531,110,40,14.2,spring,1,0.1,0.167,LOW,1
renovation,1,285.9,7,rural,0,basic,0,3.2,156501,23,22,3.8,summer,2,0.1,0.149,LOW,0
house,0,322.5,2,urban,2,premium,2,2.3,58866,83,42,12.3,winter,0,0.8,0.157,LOW,0
commercial,2,346.8,3,urban,2,basic,0,4.2,189742,108,67,4.7,autumn,3,0.3,0.274,LOW,1
renovation,1,362.6,2,rural,0,basic,0,3.8,186468,90,43,9.6,spring,1,0.1,0.05,LOW,0
landscaping,3,480.2,3,rural,0,standard,1,4.0,74082,27,46,14.5,summer,2,0.1,0.584,MEDIUM,1
renovation,1,387.6,6,suburban,1,premium,2,3.2,89399,100,32,8.6,summer,2,0.1,0.183,LOW,0
landscaping,3,451.9,4,rural,0,premium,2,4.4,196333,83,54,8.1,spring,1,0.1,0.188,LOW,0
commercial,2,81.2,4,suburban,1,basic,0,4.8,198990,70,13,14.3,summer,2,0.1,0.165,LOW,0
landscaping,3,245.7,2,suburban,1,standard,1,3.4,19251,88,20,14.7,autumn,3,0.3,0.268,LOW,0
landscaping,3,456.7,2,rural,0,basic,0,3.8,82065,86,41,14.7,spring,1,0.1,0.111,LOW,0
commercial,2,254.1,4,rural,0,premium,2,2.0,129920,45,34,11.8,autumn,3,0.3,0.172,LOW,0
commercial,2,431.9,4,urban,2,basic,0,1.0,6763,107,16,6.0,winter,0,0.8,0.34,LOW,1
commercial,2,51.6,2,rural,0,basic,0,2.3,170368,78,7,12.2,summer,2,0.1,0.0,LOW,0
landscaping,3,219.3,4,urban,2,basic,0,3.6,28108,15,14,2.7,autumn,3,0.3,0.378,MEDIUM,1
house,0,262.5,1,rural,0,standard,1,4.0,77486,90,164,1.8,summer,2,0.1,0.767,HIGH,1
house,0,57.1,7,suburban,1,basic,0,3.3,74639,24,5,14.9,autumn,3,0.3,0.107,LOW,0
commercial,2,225.3,1,rural,0,standard,1,2.0,42361,115,55,14.6,winter,0,0.8,0.086,LOW,1
commercial,2,383.3,5,rural,0,basic,0,1.1,39168,104,16,10.4,summer,2,0.1,0.0,LOW,0
house,0,368.0,3,urban,2,premium,2,2.7,68636,25,68,2.6,summer,2,0.1,0.546,MEDIUM,1
renovation,1,427.5,5,rural,0,basic,0,2.7,157171,112,23,13.4,summer,2,0.1,0.019,LOW,0
landscaping,3,150.0,3,urban,2,basic,0,3.4,11398,116,11,1.5,autumn,3,0.3,0.444,MEDIUM,1
landscaping,3,268.3,3,urban,2,basic,0,1.4,166216,69,6,5.3,winter,0,0.8,0.119,LOW,0
house,0,337.7,3,suburban,1,basic,0,3.1,95342,59,42,4.6,spring,1,0.1,0.145,LOW,0
landscaping,3,90.1,6,rural,0,standard,1,3.1,120134,66,5,8.1,spring,1,0.1,0.0,LOW,1
commercial,2,136.3,6,rural,0,basic,0,1.0,90309,57,8,1.3,spring,1,0.1,0.148,LOW,0
landscaping,3,373.9,4,urban,2,premium,2,4.0,170443,93,30,9.3,autumn,3,0.3,0.209,LOW,1
house,0,148.8,3,rural,0,standard,1,1.7,77333,53,12,12.2,winter,0,0.8,0.177,LOW,0
renovation,1,214.8,5,urban,2,basic,0,1.6,79234,37,5,11.4,summer,2,0.1,0.0,LOW,0
landscaping,3,273.3,1,rural,0,premium,2,4.8,13272,23,86,9.2,summer,2,0.1,0.919,HIGH,1
renovation,1,365.8,5,urban,2,standard,1,3.2,157243,69,22,7.9,spring,1,0.1,0.034,LOW,1
house,0,418.9,7,urban,2,standard,1,3.9,95035,7,62,2.3,winter,0,0.8,0.605,HIGH,1
house,0,429.7,1,suburban,1,standard,1,2.1,162379,99,111,2.6,winter,0,0.8,0.423,MEDIUM,1
landscaping,3,103.9,1,suburban,1,standard,1,3.8,146776,53,17,6.8,winter,0,0.8,0.24,LOW,0
commercial,2,256.8,4,rural,0,standard,1,4.1,148217,24,92,0.7,spring,1,0.1,0.816,HIGH,1
house,0,88.5,6,urban,2,premium,2,3.8,194200,67,18,1.9,summer,2,0.1,0.322,LOW,0
renovation,1,361.9,1,rural,0,standard,1,4.9,15075,71,146,5.0,summer,2,0.1,1.0,HIGH,1
renovation,1,85.7,6,urban,2,standard,1,3.2,82328,49,5,13.0,autumn,3,0.3,0.011,LOW,0
renovation,1,166.3,6,rural,0,basic,0,3.7,160353,13,14,5.0,autumn,3,0.3,0.167,LOW,1
house,0,491.5,3,suburban,1,basic,0,1.0,136434,103,16,8.5,winter,0,0.8,0.038,LOW,0
renovation,1,195.9,1,rural,0,standard,1,4.7,88955,34,69,6.4,summer,2,0.1,0.574,MEDIUM,1
landscaping,3,164.3,1,urban,2,standard,1,3.7,69829,72,32,3.5,summer,2,0.1,0.236,LOW,1
house,0,398.9,7,urban,2,basic,0,3.5,43803,25,28,11.9,summer,2,0.1,0.43,MEDIUM,1
commercial,2,182.9,7,rural,0,premium,2,2.7,196172,96,28,7.0,summer,2,0.1,0.205,LOW,0
commercial,2,287.5,4,rural,0,standard,1,2.6,148888,96,39,8.9,autumn,3,0.3,0.0,LOW,0
landscaping,3,64.8,3,urban,2,standard,1,1.8,99193,86,5,9.6,autumn,3,0.3,0.04,LOW,0
commercial,2,97.7,7,rural,0,standard,1,1.3,19739,108,8,1.5,autumn,3,0.3,0.266,LOW,0
commercial,2,245.3,3,urban,2,standard,1,3.6,57143,40,39,10.7,winter,0,0.8,0.105,LOW,0
landscaping,3,241.8,6,rural,0,standard,1,2.3,57864,8,9,13.1,spring,1,0.1,0.299,LOW,0
commercial,2,102.8,7,suburban,1,basic,0,1.9,188116,27,7,3.4,winter,0,0.8,0.248,LOW,0
commercial,2,349.7,4,urban,2,standard,1,3.5,80195,13,64,4.2,summer,2,0.1,0.55,MEDIUM,1
landscaping,3,217.5,5,urban,2,premium,2,3.5,149185,12,14,14.7,autumn,3,0.3,0.25,LOW,0
renovation,1,233.8,3,urban,2,standard,1,4.6,21439,31,27,6.8,summer,2,0.1,0.362,MEDIUM,1
landscaping,3,370.0,2,rural,0,premium,2,5.0,49689,49,71,9.7,summer,2,0.1,0.658,HIGH,1
landscaping,3,365.6,7,suburban,1,premium,2,1.8,176107,102,12,13.7,winter,0,0.8,0.086,LOW,0
house,0,37.4,3,urban,2,premium,2,2.0,17193,67,5,6.7,autumn,3,0.3,0.023,LOW,0
commercial,2,309.6,6,urban,2,premium,2,4.8,168506,44,74,6.1,spring,1,0.1,0.609,HIGH,1
house,0,163.2,6,rural,0,premium,2,2.6,105154,97,19,8.1,autumn,3,0.3,0.0,LOW,0
house,0,462.8,6,rural,0,basic,0,4.2,70053,66,64,5.8,spring,1,0.1,0.239,LOW,0
commercial,2,400.1,5,suburban,1,standard,1,2.6,175376,66,42,12.6,winter,0,0.8,0.08,LOW,0
renovation,1,97.9,7,urban,2,standard,1,1.3,165825,28,5,11.9,summer,2,0.1,0.08,LOW,0
commercial,2,307.4,7,suburban,1,basic,0,1.2,100764,74,14,3.5,spring,1,0.1,0.116,LOW,0
commercial,2,35.4,1,suburban,1,standard,1,2.0,36101,118,7,8.0,summer,2,0.1,0.167,LOW,1
renovation,1,381.0,3,rural,0,basic,0,4.3,138601,41,41,12.2,spring,1,0.1,0.062,LOW,1
landscaping,3,238.4,2,urban,2,standard,1,3.1,74593,69,26,1.6,winter,0,0.8,0.405,MEDIUM,1
commercial,2,131.5,7,suburban,1,premium,2,4.8,68715,112,33,5.9,autumn,3,0.3,0.234,LOW,0
renovation,1,179.7,5,urban,2,standard,1,2.6,112907,41,10,5.6,autumn,3,0.3,0.034,LOW,0
renovation,1,445.7,4,rural,0,basic,0,4.4,150929,63,73,0.7,winter,0,0.8,0.589,MEDIUM,1
landscaping,3,223.2,6,rural,0,premium,2,2.5,100428,51,19,2.9,autumn,3,0.3,0.08,LOW,0
house,0,374.2,2,urban,2,standard,1,2.2,110567,36,59,0.8,summer,2,0.1,0.543,MEDIUM,1
house,0,143.5,2,urban,2,premium,2,3.5,118518,40,29,8.0,summer,2,0.1,0.132,LOW,0
commercial,2,57.1,6,rural,0,premium,2,2.1,70456,34,6,8.8,spring,1,0.1,0.157,LOW,0
commercial,2,384.3,1,urban,2,basic,0,3.2,140804,53,91,11.4,winter,0,0.8,0.571,MEDIUM,1
renovation,1,286.9,1,rural,0,basic,0,3.5,108838,83,54,10.6,autumn,3,0.3,0.179,LOW,1
house,0,236.4,2,suburban,1,premium,2,3.0,27286,32,46,13.5,summer,2,0.1,0.551,MEDIUM,1
landscaping,3,227.1,1,urban,2,basic,0,3.4,172175,9,23,8.6,winter,0,0.8,0.656,HIGH,1
house,0,353.7,4,suburban,1,standard,1,4.5,147607,79,56,8.3,autumn,3,0.3,0.247,LOW,1
landscaping,3,426.4,3,suburban,1,premium,2,1.5,60674,77,17,7.0,winter,0,0.8,0.067,LOW,1
renovation,1,444.8,3,suburban,1,premium,2,1.1,84899,63,16,12.2,winter,0,0.8,0.21,LOW,0
landscaping,3,61.5,6,suburban,1,premium,2,2.9,40436,110,5,14.5,summer,2,0.1,0.0,LOW,0
renovation,1,64.8,2,urban,2,premium,2,3.1,197897,26,7,15.0,spring,1,0.1,0.122,LOW,0
renovation,1,133.5,6,suburban,1,premium,2,3.9,123640,61,15,5.9,winter,0,0.8,0.173,LOW,0
house,0,338.7,3,urban,2,basic,0,4.7,78949,8,46,10.1,summer,2,0.1,0.557,MEDIUM,0
renovation,1,408.1,5,rural,0,standard,1,1.4,14488,42,14,11.6,spring,1,0.1,0.277,LOW,0
commercial,2,383.3,7,urban,2,standard,1,3.7,152908,105,45,10.2,winter,0,0.8,0.204,LOW,0
commercial,2,109.8,1,rural,0,premium,2,2.4,81197,64,42,13.7,summer,2,0.1,0.212,LOW,0
renovation,1,337.4,4,urban,2,standard,1,4.4,110621,68,45,2.8,winter,0,0.8,0.325,LOW,0
renovation,1,157.3,3,urban,2,premium,2,1.7,121955,8,9,6.7,spring,1,0.1,0.342,LOW,0
renovation,1,118.3,1,urban,2,premium,2,3.3,31062,96,27,7.0,summer,2,0.1,0.302,LOW,0
house,0,288.2,1,rural,0,basic,0,2.1,188118,100,64,3.8,winter,0,0.8,0.286,LOW,1
commercial,2,247.7,6,urban,2,basic,0,1.9,121084,28,19,1.4,autumn,3,0.3,0.285,LOW,1
house,0,246.9,7,suburban,1,premium,2,1.8,22235,107,16,11.3,summer,2,0.1,0.14,LOW,0
commercial,2,248.1,6,suburban,1,basic,0,1.1,176441,41,8,12.5,autumn,3,0.3,0.056,LOW,1
